content_id,total_attempts,correct_attempts,avg_time,std_time,accuracy,failure_rate,retry_rate,part,part_difficulty
0,39,34,19576.924,5314.50158768497,0.8717948717948718,0.1282051282051282,0.08823529411764706,1,0.3
1,26,24,20423.076,5658.077955794366,0.9230769230769231,0.07692307692307687,0.0,1,0.3
2,205,113,22884.469,8658.091761820127,0.551219512195122,0.448780487804878,0.15028901734104047,1,0.3
3,92,72,23604.152,10358.531879656663,0.782608695652174,0.21739130434782605,0.0975609756097561,1,0.3
4,146,87,22186.645,6054.765268082854,0.5958904109589042,0.40410958904109584,0.07751937984496124,1,0.3
5,47,39,22000.0,9238.388717030506,0.8297872340425532,0.17021276595744683,0.06818181818181818,1,0.3
6,240,103,22714.512,9133.359796449015,0.42916666666666664,0.5708333333333333,0.19170984455958548,1,0.3
7,74,65,21827.703,7536.091888472396,0.8783783783783784,0.1216216216216216,0.057971014492753624,1,0.3
8,43,38,21015.488,6180.6557687679415,0.8837209302325582,0.11627906976744184,0.0,1,0.3
9,216,65,23735.717,11840.550816809855,0.30092592592592593,0.6990740740740741,0.25609756097560976,1,0.3
10,140,92,22295.828,6613.199151754052,0.6571428571428571,0.34285714285714286,0.19130434782608696,1,0.3
11,28,23,20223.215,8581.132211221024,0.8214285714285714,0.1785714285714286,0.07692307692307693,1,0.3
12,100,79,22490.0,6895.313882293798,0.79,0.20999999999999996,0.11235955056179775,1,0.3
13,35,28,19438.086,7025.968052921409,0.8,0.19999999999999996,0.06060606060606061,1,0.3
14,71,54,21063.38,5078.44153362651,0.7605633802816901,0.23943661971830987,0.14516129032258066,1,0.3
15,84,56,20622.215,7135.496625891342,0.6666666666666666,0.33333333333333337,0.1388888888888889,1,0.3
16,18,7,24611.111,13187.065360058605,0.3888888888888889,0.6111111111111112,0.21428571428571427,1,0.3
17,44,42,21810.592,5421.423954019623,0.9545454545454546,0.045454545454545414,0.023255813953488372,1,0.3
18,105,84,24469.04,26530.494299348546,0.8,0.19999999999999996,0.061224489795918366,1,0.3
19,54,42,21950.611,6819.7454288145145,0.7777777777777778,0.2222222222222222,0.10204081632653061,1,0.3
20,26,25,19500.0,5155.5795018600975,0.9615384615384616,0.038461538461538436,0.08695652173913043,1,0.3
21,58,46,28023.568,37519.87372098979,0.7931034482758621,0.2068965517241379,0.1,1,0.3
22,41,36,20170.732,5826.244240608139,0.8780487804878049,0.12195121951219512,0.05128205128205128,1,0.3
23,41,28,22146.342,6018.974063782615,0.6829268292682927,0.31707317073170727,0.05405405405405406,1,0.3
24,72,49,24842.584,10369.230889144785,0.6805555555555556,0.3194444444444444,0.09090909090909091,1,0.3
25,91,68,23063.188,7238.553550893818,0.7472527472527473,0.25274725274725274,0.02247191011235955,1,0.3
26,47,35,21914.895,5606.013026532672,0.7446808510638298,0.25531914893617025,0.1,1,0.3
27,60,40,20916.666,6431.626482394599,0.6666666666666666,0.33333333333333337,0.09433962264150944,1,0.3
28,88,54,24308.705,13029.44114869611,0.6136363636363636,0.38636363636363635,0.18840579710144928,1,0.3
29,22,11,19363.637,6260.575468341964,0.5,0.5,0.1,1,0.3
30,37,33,23021.621,13857.431522775369,0.8918918918918919,0.10810810810810811,0.05714285714285714,1,0.3
31,56,46,21214.285,6577.411167194709,0.8214285714285714,0.1785714285714286,0.0784313725490196,1,0.3
32,49,41,22933.674,14491.985528485153,0.8367346938775511,0.16326530612244894,0.09523809523809523,1,0.3
33,54,40,23191.352,11146.930917246435,0.7407407407407407,0.2592592592592593,0.058823529411764705,1,0.3
34,56,39,20956.84,6238.54451200332,0.6964285714285714,0.3035714285714286,0.10416666666666667,1,0.3
35,34,29,20235.295,5331.773390405017,0.8529411764705882,0.1470588235294118,0.0625,1,0.3
36,42,35,20801.572,6214.797593560056,0.8333333333333334,0.16666666666666663,0.07692307692307693,1,0.3
37,74,60,24002.703,10977.710580154519,0.8108108108108109,0.18918918918918914,0.09230769230769231,1,0.3
38,37,35,21283.783,8086.803843076472,0.9459459459459459,0.05405405405405406,0.0,1,0.3
39,147,82,22335.707,7409.115136018555,0.5578231292517006,0.44217687074829937,0.21739130434782608,1,0.3
40,39,31,19794.871,5897.10895796222,0.7948717948717948,0.20512820512820518,0.11764705882352941,1,0.3
41,19,18,22157.895,11398.16338955407,0.9473684210526315,0.052631578947368474,0.0,1,0.3
42,28,27,20973.215,5026.015322942721,0.9642857142857143,0.0357142857142857,0.037037037037037035,1,0.3
43,39,38,21649.564,5845.978108224093,0.9743589743589743,0.02564102564102566,0.0,1,0.3
44,36,32,23138.889,9442.0118249019,0.8888888888888888,0.11111111111111116,0.02857142857142857,1,0.3
45,167,115,21296.4,6961.358440568252,0.688622754491018,0.31137724550898205,0.13286713286713286,1,0.3
46,30,25,21283.334,9546.332869975144,0.8333333333333334,0.16666666666666663,0.1111111111111111,1,0.3
47,41,33,20138.195,5195.615373656485,0.8048780487804879,0.19512195121951215,0.10810810810810811,1,0.3
48,39,29,23851.281,19072.974429182468,0.7435897435897436,0.2564102564102564,0.08333333333333333,1,0.3
49,12,7,20333.334,2640.018365409031,0.5833333333333334,0.41666666666666663,0.09090909090909091,1,0.3
50,93,78,18301.076,5075.056106429117,0.8387096774193549,0.16129032258064513,0.010869565217391304,1,0.3
51,99,90,22531.13,20986.600600094505,0.9090909090909091,0.09090909090909094,0.0,1,0.3
52,139,116,23281.41,9863.196354662236,0.8345323741007195,0.16546762589928055,0.13043478260869565,1,0.3
53,44,31,24467.773,23363.586214114377,0.7045454545454546,0.2954545454545454,0.07317073170731707,1,0.3
54,39,32,20217.95,5014.1836610533755,0.8205128205128205,0.17948717948717952,0.08571428571428572,1,0.3
55,197,118,22899.994,9185.391642021641,0.5989847715736041,0.4010152284263959,0.1286549707602339,1,0.3
56,113,88,21256.62,5924.646944451904,0.7787610619469026,0.22123893805309736,0.08823529411764706,1,0.3
57,37,35,22668.918,9028.899214246498,0.9459459459459459,0.05405405405405406,0.0,1,0.3
58,171,64,22076.21,9030.242052133699,0.3742690058479532,0.6257309941520468,0.3333333333333333,1,0.3
59,56,51,22440.465,7456.837087140621,0.9107142857142857,0.0892857142857143,0.037037037037037035,1,0.3
60,53,40,20528.303,7151.12625230058,0.7547169811320755,0.24528301886792447,0.1111111111111111,1,0.3
61,83,66,20991.951,6030.651115401877,0.7951807228915663,0.20481927710843373,0.07792207792207792,1,0.3
62,94,61,21639.16,6631.350039008164,0.648936170212766,0.35106382978723405,0.1794871794871795,1,0.3
63,72,48,22564.805,12299.929676472377,0.6666666666666666,0.33333333333333337,0.07692307692307693,1,0.3
64,161,100,22659.41,7174.553543141245,0.6211180124223602,0.3788819875776398,0.16911764705882354,1,0.3
65,106,92,24628.924,25049.636756875196,0.8679245283018868,0.13207547169811318,0.10638297872340426,1,0.3
66,30,25,20277.732,5515.5986884429885,0.8333333333333334,0.16666666666666663,0.11538461538461539,1,0.3
67,40,36,20475.0,4590.891204470223,0.9,0.09999999999999998,0.02702702702702703,1,0.3
68,37,35,22555.555,8686.424365293711,0.9459459459459459,0.05405405405405406,0.027777777777777776,1,0.3
69,67,36,22293.521,5200.511549308509,0.5373134328358209,0.4626865671641791,0.18518518518518517,1,0.3
70,31,29,20408.58,8406.204997001494,0.9354838709677419,0.06451612903225812,0.03333333333333333,1,0.3
71,42,29,21150.785,5047.302981988109,0.6904761904761905,0.30952380952380953,0.11428571428571428,1,0.3
72,71,55,22379.098,6146.8647505512445,0.7746478873239436,0.22535211267605637,0.04477611940298507,1,0.3
73,39,32,21119.64,5570.144883720802,0.8205128205128205,0.17948717948717952,0.05405405405405406,1,0.3
74,15,5,18133.334,7150.09157450515,0.3333333333333333,0.6666666666666667,0.07142857142857142,1,0.3
75,47,38,21276.596,6605.999011634851,0.8085106382978723,0.19148936170212771,0.045454545454545456,1,0.3
76,140,84,25343.086,25584.219681233906,0.6,0.4,0.1565217391304348,1,0.3
77,89,59,21397.0,8063.500598939083,0.6629213483146067,0.3370786516853933,0.11392405063291139,1,0.3
78,50,42,20600.0,6275.966467568228,0.84,0.16000000000000003,0.13636363636363635,1,0.3
79,27,26,23246.889,7803.9876263225115,0.9629629629629629,0.03703703703703709,0.0,1,0.3
80,34,28,23813.705,13146.751608297289,0.8235294117647058,0.17647058823529416,0.18518518518518517,1,0.3
81,25,19,22120.0,12580.805485606503,0.76,0.24,0.041666666666666664,1,0.3
82,14,10,22285.715,7215.672807572005,0.7142857142857143,0.2857142857142857,0.0,1,0.3
83,95,75,21424.895,7729.953721853273,0.7894736842105263,0.21052631578947367,0.09302325581395349,1,0.3
84,42,39,21529.762,5778.482579149801,0.9285714285714286,0.0714285714285714,0.024390243902439025,1,0.3
85,70,54,21755.943,6108.754212249244,0.7714285714285715,0.22857142857142854,0.09375,1,0.3
86,75,56,22311.107,7533.587707409081,0.7466666666666667,0.2533333333333333,0.13636363636363635,1,0.3
