content_id,total_attempts,correct_attempts,avg_time,std_time,accuracy,failure_rate,retry_rate,part,part_difficulty,cluster,difficulty_level
0,39,34,19576.924,5314.50158768497,0.8717948717948718,0.1282051282051282,0.08823529411764706,1,0.3,2,Medium
1,26,24,20423.076,5658.077955794366,0.9230769230769231,0.07692307692307687,0.0,1,0.3,1,Easy
2,205,113,22884.469,8658.091761820127,0.551219512195122,0.448780487804878,0.15028901734104047,1,0.3,2,Medium
3,92,72,23604.152,10358.531879656663,0.782608695652174,0.21739130434782605,0.0975609756097561,1,0.3,2,Medium
4,146,87,22186.645,6054.765268082854,0.5958904109589042,0.40410958904109584,0.07751937984496124,1,0.3,2,Medium
5,47,39,22000.0,9238.388717030506,0.8297872340425532,0.17021276595744683,0.06818181818181818,1,0.3,2,Medium
6,240,103,22714.512,9133.359796449015,0.42916666666666664,0.5708333333333333,0.19170984455958548,1,0.3,2,Medium
7,74,65,21827.703,7536.091888472396,0.8783783783783784,0.1216216216216216,0.057971014492753624,1,0.3,2,Medium
8,43,38,21015.488,6180.6557687679415,0.8837209302325582,0.11627906976744184,0.0,1,0.3,1,Easy
9,216,65,23735.717,11840.550816809855,0.30092592592592593,0.6990740740740741,0.25609756097560976,1,0.3,2,Medium
10,140,92,22295.828,6613.199151754052,0.6571428571428571,0.34285714285714286,0.19130434782608696,1,0.3,2,Medium
11,28,23,20223.215,8581.132211221024,0.8214285714285714,0.1785714285714286,0.07692307692307693,1,0.3,2,Medium
12,100,79,22490.0,6895.313882293798,0.79,0.20999999999999996,0.11235955056179775,1,0.3,2,Medium
13,35,28,19438.086,7025.968052921409,0.8,0.19999999999999996,0.06060606060606061,1,0.3,2,Medium
14,71,54,21063.38,5078.44153362651,0.7605633802816901,0.23943661971830987,0.14516129032258066,1,0.3,2,Medium
15,84,56,20622.215,7135.496625891342,0.6666666666666666,0.33333333333333337,0.1388888888888889,1,0.3,2,Medium
16,18,7,24611.111,13187.065360058605,0.3888888888888889,0.6111111111111112,0.21428571428571427,1,0.3,2,Medium
17,44,42,21810.592,5421.423954019623,0.9545454545454546,0.045454545454545414,0.023255813953488372,1,0.3,2,Medium
18,105,84,24469.04,26530.494299348546,0.8,0.19999999999999996,0.061224489795918366,1,0.3,2,Medium
19,54,42,21950.611,6819.7454288145145,0.7777777777777778,0.2222222222222222,0.10204081632653061,1,0.3,2,Medium
20,26,25,19500.0,5155.5795018600975,0.9615384615384616,0.038461538461538436,0.08695652173913043,1,0.3,2,Medium
21,58,46,28023.568,37519.87372098979,0.7931034482758621,0.2068965517241379,0.1,1,0.3,2,Medium
22,41,36,20170.732,5826.244240608139,0.8780487804878049,0.12195121951219512,0.05128205128205128,1,0.3,2,Medium
